             XT       f1=1,f2=1     f1=1,f2=0.1    f1=1,f2=0.01     f1=1.3,f2=1   f1=1.3,f2=0.1  f1=1.3,f2=0.01     f1=2.8,f2=1   f1=2.8,f2=0.1  f1=2.8,f2=0.01   f1=Inf,f2=Inf 
2.936397539E-01 1.025375445E-01 9.986179150E-02 9.455839638E-02 1.907620316E-01 1.850975837E-01 1.740379412E-01 2.844023566E-01 2.748793844E-01 2.565593439E-01 2.859278377E-01
3.000873038E-01 1.024232077E-01 9.964031303E-02 9.430115804E-02 1.905383278E-01 1.846455047E-01 1.735130091E-01 2.840514532E-01 2.741430428E-01 2.557067708E-01 2.855747674E-01
3.066764248E-01 1.023028902E-01 9.940998946E-02 9.403188905E-02 1.903030340E-01 1.841760352E-01 1.729653579E-01 2.836825419E-01 2.733793813E-01 2.548199217E-01 2.852035806E-01
3.134102254E-01 1.021774991E-01 9.917418237E-02 9.375902318E-02 1.900578254E-01 1.836952606E-01 1.724102402E-01 2.832981009E-01 2.725972146E-01 2.539208740E-01 2.848167687E-01
3.202918824E-01 1.020478660E-01 9.893345759E-02 9.348321202E-02 1.898042360E-01 1.832042521E-01 1.718488811E-01 2.829003973E-01 2.717981743E-01 2.530114784E-01 2.844166105E-01
3.273246424E-01 1.019087902E-01 9.868180529E-02 9.319673368E-02 1.895325469E-01 1.826918817E-01 1.712671003E-01 2.824748730E-01 2.709657583E-01 2.520708857E-01 2.839884686E-01
3.345118231E-01 1.017671607E-01 9.842414160E-02 9.290554104E-02 1.892555905E-01 1.821674675E-01 1.706760315E-01 2.820406861E-01 2.701141308E-01 2.511157839E-01 2.835516046E-01
3.418568152E-01 1.016121485E-01 9.815547227E-02 9.260734721E-02 1.889531460E-01 1.816212581E-01 1.700709081E-01 2.815675726E-01 2.692280472E-01 2.501383048E-01 2.830755900E-01
3.493630838E-01 1.014562036E-01 9.788442336E-02 9.230282163E-02 1.886484207E-01 1.810696213E-01 1.694537323E-01 2.810902047E-01 2.683324111E-01 2.491425754E-01 2.825952843E-01
3.570341702E-01 1.012943025E-01 9.760533569E-02 9.199441698E-02 1.883320238E-01 1.805020879E-01 1.688286024E-01 2.805945109E-01 2.674117126E-01 2.481340114E-01 2.820965394E-01
3.648736933E-01 1.011271850E-01 9.731892260E-02 9.167980370E-02 1.880053159E-01 1.799200079E-01 1.681914146E-01 2.800824963E-01 2.664680058E-01 2.471068475E-01 2.815813707E-01
3.728853515E-01 1.009502427E-01 9.702421741E-02 9.135830743E-02 1.876596774E-01 1.793212872E-01 1.675406789E-01 2.795412381E-01 2.654977199E-01 2.460585181E-01 2.810367849E-01
3.810729245E-01 1.007643877E-01 9.671983747E-02 9.102791850E-02 1.872967884E-01 1.787035658E-01 1.668728889E-01 2.789732169E-01 2.644976718E-01 2.449841511E-01 2.804652755E-01
3.894402748E-01 1.005704501E-01 9.640655570E-02 9.069234196E-02 1.869181769E-01 1.780683114E-01 1.661947459E-01 2.783806851E-01 2.634701023E-01 2.438934545E-01 2.798691067E-01
3.979913500E-01 1.003691812E-01 9.608702846E-02 9.034961539E-02 1.865252233E-01 1.774203165E-01 1.655028281E-01 2.777656753E-01 2.624219344E-01 2.427816763E-01 2.792503215E-01
4.067301841E-01 1.001563859E-01 9.575642454E-02 8.999912238E-02 1.861100753E-01 1.767506756E-01 1.647957707E-01 2.771164073E-01 2.613400274E-01 2.416464667E-01 2.785970754E-01
4.156608998E-01 9.993772711E-02 9.542082537E-02 8.964316661E-02 1.856832809E-01 1.760706874E-01 1.640781175E-01 2.764486280E-01 2.602412096E-01 2.404949858E-01 2.779251999E-01
4.247877103E-01 9.970904794E-02 9.507376628E-02 8.927860142E-02 1.852370582E-01 1.753685865E-01 1.633440053E-01 2.757506616E-01 2.591083508E-01 2.393184901E-01 2.772229558E-01
4.341149214E-01 9.947107803E-02 9.471958498E-02 8.890872524E-02 1.847727466E-01 1.746521267E-01 1.625993913E-01 2.750244783E-01 2.579525347E-01 2.381255985E-01 2.764923231E-01
4.436469333E-01 9.921996773E-02 9.435388694E-02 8.852816073E-02 1.842831356E-01 1.739132283E-01 1.618344746E-01 2.742592542E-01 2.567618739E-01 2.369020155E-01 2.757224188E-01
4.533882428E-01 9.896096748E-02 9.398234118E-02 8.814162995E-02 1.837780052E-01 1.731624247E-01 1.610580864E-01 2.734695907E-01 2.555520585E-01 2.356609743E-01 2.749279228E-01
4.633434457E-01 9.869024487E-02 9.359909455E-02 8.774845760E-02 1.832501768E-01 1.723890970E-01 1.602687777E-01 2.726447116E-01 2.543076809E-01 2.344000399E-01 2.740980002E-01
4.735172384E-01 9.840847505E-02 9.320810053E-02 8.734937804E-02 1.827008882E-01 1.716003005E-01 1.594679457E-01 2.717864364E-01 2.530388122E-01 2.331213483E-01 2.732344796E-01
4.839144207E-01 9.811208873E-02 9.280386895E-02 8.693753473E-02 1.821234506E-01 1.707861001E-01 1.586432335E-01 2.708847199E-01 2.517310764E-01 2.318070825E-01 2.723272609E-01
4.945398974E-01 9.780592821E-02 9.239325629E-02 8.652148652E-02 1.815268852E-01 1.699590689E-01 1.578102230E-01 2.699530340E-01 2.504029477E-01 2.304799645E-01 2.713898887E-01
5.053986814E-01 9.748642445E-02 9.197237796E-02 8.609848371E-02 1.809045044E-01 1.691120926E-01 1.569638183E-01 2.689813369E-01 2.490440033E-01 2.291324401E-01 2.704122660E-01
5.164958956E-01 9.715023885E-02 9.153904684E-02 8.566227904E-02 1.802500496E-01 1.682410557E-01 1.560927939E-01 2.679602277E-01 2.476480500E-01 2.277483740E-01 2.693849405E-01
5.278367751E-01 9.680196744E-02 9.109696093E-02 8.522089323E-02 1.795720854E-01 1.673529940E-01 1.552117419E-01 2.669025007E-01 2.462258208E-01 2.263490307E-01 2.683207756E-01
5.394266702E-01 9.643825626E-02 9.064394733E-02 8.477181708E-02 1.788643262E-01 1.664438237E-01 1.543160240E-01 2.657987177E-01 2.447711782E-01 2.249275534E-01 2.672102814E-01
5.512710486E-01 9.605967618E-02 9.018075450E-02 8.431412463E-02 1.781278196E-01 1.655149975E-01 1.534041370E-01 2.646504223E-01 2.432863888E-01 2.234820298E-01 2.660550094E-01
5.633754982E-01 9.566671737E-02 8.970809005E-02 8.384869023E-02 1.773634641E-01 1.645678916E-01 1.524777416E-01 2.634589378E-01 2.417736050E-01 2.220149904E-01 2.648562899E-01
5.757457294E-01 9.525620992E-02 8.922394261E-02 8.337338490E-02 1.765653201E-01 1.635987394E-01 1.515329102E-01 2.622153488E-01 2.402271879E-01 2.205206414E-01 2.636051588E-01
5.883875781E-01 9.482517009E-02 8.872530754E-02 8.288779858E-02 1.757277962E-01 1.626020924E-01 1.505687479E-01 2.609112624E-01 2.386392416E-01 2.189974693E-01 2.622931772E-01
6.013070082E-01 9.438114821E-02 8.822052836E-02 8.239552709E-02 1.748649907E-01 1.615933955E-01 1.495923279E-01 2.595677826E-01 2.370326784E-01 2.174565664E-01 2.609415637E-01
6.145101147E-01 9.391415352E-02 8.770028265E-02 8.189336722E-02 1.739582203E-01 1.605554445E-01 1.485972292E-01 2.581569132E-01 2.353820814E-01 2.158877171E-01 2.595221698E-01
6.280031264E-01 9.342818034E-02 8.717014171E-02 8.138069196E-02 1.730149423E-01 1.594984577E-01 1.475828352E-01 2.566898190E-01 2.337024719E-01 2.142907998E-01 2.580462209E-01
6.417924088E-01 9.292362545E-02 8.662874289E-02 8.086121090E-02 1.720358934E-01 1.584202769E-01 1.465557575E-01 2.551676040E-01 2.319912048E-01 2.126752527E-01 2.565148272E-01
6.558844673E-01 9.240080897E-02 8.607687844E-02 8.033431624E-02 1.710216706E-01 1.573224458E-01 1.455150744E-01 2.535911684E-01 2.302506938E-01 2.110400087E-01 2.549288939E-01
6.702859500E-01 9.185050621E-02 8.551003655E-02 7.979313259E-02 1.699550304E-01 1.561961591E-01 1.444480707E-01 2.519346873E-01 2.284672266E-01 2.093662545E-01 2.532624557E-01
6.850036510E-01 9.128269596E-02 8.493430802E-02 7.924755636E-02 1.688546337E-01 1.550533230E-01 1.433730191E-01 2.502261389E-01 2.266593999E-01 2.076810037E-01 2.515436435E-01
7.000445138E-01 9.068833218E-02 8.434435178E-02 7.868845209E-02 1.677035785E-01 1.538837537E-01 1.422733213E-01 2.484402233E-01 2.248116912E-01 2.059601177E-01 2.497470202E-01
7.154156339E-01 9.007091917E-02 8.374331974E-02 7.812166511E-02 1.665084315E-01 1.526934703E-01 1.411595826E-01 2.465868139E-01 2.229333079E-01 2.042190104E-01 2.478825137E-01
7.311242631E-01 8.943073024E-02 8.313113992E-02 7.754793334E-02 1.652697246E-01 1.514825650E-01 1.400332324E-01 2.446667506E-01 2.210247281E-01 2.024598964E-01 2.459509690E-01
7.471778121E-01 8.876218076E-02 8.250425217E-02 7.696126023E-02 1.639770426E-01 1.502443984E-01 1.388835000E-01 2.426644800E-01 2.190760503E-01 2.006672937E-01 2.439367492E-01
