             XT               P               v             tau
2.690000000E+00 1.214157273E-02 1.517696591E-02 3.544845546E+02
2.700000000E+00 1.181142990E-02 1.476428737E-02 3.657474190E+02
2.710000000E+00 1.148878927E-02 1.436098659E-02 3.774113961E+02
2.720000000E+00 1.117352911E-02 1.396691139E-02 3.894919820E+02
2.730000000E+00 1.086552810E-02 1.358191012E-02 4.020053108E+02
2.740000000E+00 1.056466538E-02 1.320583172E-02 4.149681834E+02
2.750000000E+00 1.027082052E-02 1.283852565E-02 4.283981005E+02
2.760000000E+00 9.983874044E-03 1.247984255E-02 4.423132725E+02
2.770000000E+00 9.703706701E-03 1.212963338E-02 4.567326834E+02
2.780000000E+00 9.430199937E-03 1.178774992E-02 4.716761076E+02
2.790000000E+00 9.163236246E-03 1.145404531E-02 4.871641285E+02
2.800000000E+00 8.902698443E-03 1.112837305E-02 5.032182128E+02
2.810000000E+00 8.648470468E-03 1.081058809E-02 5.198607102E+02
2.820000000E+00 8.400436984E-03 1.050054623E-02 5.371149154E+02
2.830000000E+00 8.158483532E-03 1.019810441E-02 5.550051039E+02
2.840000000E+00 7.922496564E-03 9.903120705E-03 5.735565757E+02
2.850000000E+00 7.692363482E-03 9.615454352E-03 5.927957007E+02
2.860000000E+00 7.467972663E-03 9.334965828E-03 6.127499666E+02
2.870000000E+00 7.249213441E-03 9.061516801E-03 6.334480337E+02
2.880000000E+00 7.035976371E-03 8.794970463E-03 6.549197663E+02
2.890000000E+00 6.828152833E-03 8.535191042E-03 6.771963242E+02
2.900000000E+00 6.625635534E-03 8.282044417E-03 7.003101780E+02
2.910000000E+00 6.428318083E-03 8.035397604E-03 7.242952106E+02
2.920000000E+00 6.236095391E-03 7.795119239E-03 7.491867438E+02
2.930000000E+00 6.048863442E-03 7.561079303E-03 7.750216293E+02
2.940000000E+00 5.866519528E-03 7.333149410E-03 8.018382923E+02
2.950000000E+00 5.688962019E-03 7.111202524E-03 8.296768346E+02
2.960000000E+00 5.516090518E-03 6.895113148E-03 8.585790940E+02
2.970000000E+00 5.347805939E-03 6.684757424E-03 8.885887135E+02
2.980000000E+00 5.184010409E-03 6.480013012E-03 9.197512396E+02
2.990000000E+00 5.024607327E-03 6.280759159E-03 9.521142028E+02
3.000000000E+00 4.869501368E-03 6.086876710E-03 9.857272105E+02
3.010000000E+00 4.718598474E-03 5.898248093E-03 1.020642046E+03
3.020000000E+00 4.571805941E-03 5.714757426E-03 1.056912752E+03
3.030000000E+00 4.429032343E-03 5.536290429E-03 1.094595755E+03
3.040000000E+00 4.290187575E-03 5.362734468E-03 1.133749962E+03
3.050000000E+00 4.155182849E-03 5.193978562E-03 1.174436885E+03
3.060000000E+00 4.023930713E-03 5.029913391E-03 1.216720751E+03
3.070000000E+00 3.896345023E-03 4.870431279E-03 1.260668645E+03
3.080000000E+00 3.772341010E-03 4.715426263E-03 1.306350615E+03
3.090000000E+00 3.651835219E-03 4.564794024E-03 1.353839838E+03
3.100000000E+00 3.534745537E-03 4.418431921E-03 1.403212749E+03
3.110000000E+00 3.420991173E-03 4.276238966E-03 1.454549208E+03
3.120000000E+00 3.310492703E-03 4.138115879E-03 1.507932640E+03
3.130000000E+00 3.203172022E-03 4.003965028E-03 1.563450219E+03
3.140000000E+00 3.098952359E-03 3.873690449E-03 1.621193041E+03
3.150000000E+00 2.997758271E-03 3.747197839E-03 1.681256307E+03
3.160000000E+00 2.899515634E-03 3.624394542E-03 1.743739520E+03
3.170000000E+00 2.804151658E-03 3.505189572E-03 1.808746679E+03
3.180000000E+00 2.711594863E-03 3.389493578E-03 1.876386502E+03
3.190000000E+00 2.621775065E-03 3.277218832E-03 1.946772653E+03
3.200000000E+00 2.534623406E-03 3.168279258E-03 2.020023956E+03
3.210000000E+00 2.450072291E-03 3.062590363E-03 2.096264677E+03
3.220000000E+00 2.368055424E-03 2.960069280E-03 2.175624755E+03
3.230000000E+00 2.288507795E-03 2.860634743E-03 2.258240069E+03
3.240000000E+00 2.211365639E-03 2.764207049E-03 2.344252759E+03
3.250000000E+00 2.136566463E-03 2.670708079E-03 2.433811486E+03
3.260000000E+00 2.064049013E-03 2.580061267E-03 2.527071773E+03
3.270000000E+00 1.993753266E-03 2.492191583E-03 2.624196328E+03
3.280000000E+00 1.925620430E-03 2.407025538E-03 2.725355380E+03
3.290000000E+00 1.859592919E-03 2.324491149E-03 2.830727062E+03
3.300000000E+00 1.795614344E-03 2.244517930E-03 2.940497784E+03
3.310000000E+00 1.733629510E-03 2.167036888E-03 3.054862627E+03
3.320000000E+00 1.673584381E-03 2.091980477E-03 3.174025797E+03
3.330000000E+00 1.615426097E-03 2.019282622E-03 3.298201019E+03
3.340000000E+00 1.559102931E-03 1.948878664E-03 3.427612054E+03
3.350000000E+00 1.504564294E-03 1.880705367E-03 3.562493156E+03
3.360000000E+00 1.451760714E-03 1.814700893E-03 3.703089598E+03
3.370000000E+00 1.400643820E-03 1.750804776E-03 3.849658222E+03
3.380000000E+00 1.351166334E-03 1.688957917E-03 4.002467990E+03
3.390000000E+00 1.303282047E-03 1.629102559E-03 4.161800595E+03
3.400000000E+00 1.256945812E-03 1.571182265E-03 4.327951092E+03
3.410000000E+00 1.212113525E-03 1.515141906E-03 4.501228547E+03
